name,place_id
Ohana Wellness & Spa,ChIJ4537u2-l3IARsHuSgZegPPk
Spa Max,ChIJ08vpUO7I3IARe1GL5ZKqw38
Tournament House Gym,ChIJTW2Tx7qx3IARXgEFFG2Q4RQ
CryoFix Wellness,ChIJ-7oi9gWu3IARzaBWDGzkofA
Snap Bod Beauty & Wellness LLC,ChIJqdqnUOu33IAR60qJRz_hw34
Leslie's,ChIJpc56FTa33IARGE6V85ZWRpo
Legends Barbell,ChIJOzNefb5lw4ARDQ-ww31li9I
Ecospas,ChIJ5VyB2Jhow4ARgnYH9Vsz09E
Healthwise,ChIJ__-_FcQ0w4ARp-HjLOAZlFw
THT CONTOUR PostOp & Colombian Fajas,ChIJH1CREUE3w4ARCNHfhsUSIkI
V spa Massage,ChIJQZNdnOw2w4ARm4gjkZeqUSA
Gingko Health Care,ChIJrelYIUzXwoAROm38YOFnl_I
Aurora Modern Healing Therapies,ChIJ6TeoESIxw4AR7VhxgmR9t_4
Red Effect Infrared Fitness for Women,ChIJzz9w8vMn3YARxJMWSnw9xyA
Fitness 19,ChIJwx2_hfOh3IARqwT2pRfTY7Q
Powerhouse Gym Murrieta,ChIJ4_-ftBeC3IARpOOXC6pNEw0
24 Hour Fitness,ChIJWRz6oOfY3IARrnoy-HMq3vQ
SoCal Cryo Wellness,ChIJWZP1Bz0vw4AR6G5fUyahpxo
DK Beauty Bar,ChIJq6qWzcgxw4AR-QdJfdLqoLw
OC Sculpt Spa,ChIJs86ZEQLX3IARH67UN6dEurQ
Yorba Spa,ChIJtSj8teHT3IARP-991PytoFU
Essence Day Spa,ChIJg91Md-bV3IAR29_4PI2KmkE
The Gardens Wellness Spa,ChIJW1iraUXX3IARy7yUl1gac74
Skinsations Spa,ChIJ-_6W7ira3IAR4cjAzGUItEg
Sakura Health Gym Sauna Inc,ChIJo5obal3FwoARdMMSeZskzHI
LA Fitness,ChIJA45Qe3Qvw4ARYAYpVTITVcw
Equinox Newport Beach,ChIJsbGwVVve3IARW-mQwqZOMb8
Leslie's,ChIJ2ee9WLovw4ARaE4Xjyk2QcI
Verve Med Spa & Laser Aesthetics,ChIJKyDAqUkxw4ARm8VIm1tWTXk
Speakeasy Fitness - Pasadena,ChIJVYUQkCrdwoAR7mMssu-qcAQ
Coleaner Spa,ChIJPb0xRO_EwoARv2ZOh45WMZE
Dr. Bobbi Jones Healing Arts,ChIJrTyQJsvAwoARxr4H9_tafAk
"UHB MEDI SPA INC,",ChIJhXaV3p4y3YARJw2zvIAU_L4
TCG Sauna,ChIJibEM2U3SwoARZvI5piLDonc
Glory B2 Bod,ChIJ0YXoyrbVwoARlsLCkesIv2I
"Optimal Health Beverly Hills - Colonics, Detox & Infrared Sauna",ChIJY351LES5woAR9VDGM9yg4z0
Anytime Fitness,ChIJ___rAwLBwoARGWA3FGIzpO8
Pause West Hollywood,ChIJL1M_6Dm_woAR6olE-MBKz2U
Perspire Sauna Studio Headquarters,ChIJp6PV7C8h3YARoVdIx1FsjtA
Equinox Downtown LA,ChIJXYQYDLPHwoARX7QKp3pfdLA
LA Fitness,ChIJxSuylXG5woARcM5Y7yyTizk
Planet Fitness,ChIJdYQQTNXHwoARyUl4-WWDZkg
Motykie Med Spa,ChIJfXSzDKC-woARO_iVqPsI8CA
"YouthFill MD Med Spa - West Hollywood, CA",ChIJd4E82FK5woARTGndZgRAoM0
Speakeasy Fitness - Reseda,ChIJYyHVv4CZwoARH2eUAriL8Ns
HomeSpa,ChIJbUQGLWGcwoAR2Ju7rLJ5pPk
Hydro Spa,ChIJMRpFJzVWwoARDN_7LtxA8p8
Spa Glow Shape,ChIJAQBwOyiRwoARPRqyQjyF0MU
My Beauty Body Sculpting Studio,ChIJmQxMWVqRwoARsV2FQIAk1Q0
Sun Spa Oxnard,ChIJxxSWZY9O6IARVqN2D1iYCRo
Lumière Studio & Spa,ChIJE2T7_B436IARbX6VtMxHc5w
The Spa at Four Seasons Hotel Westlake Village,ChIJS6xigF0k6IAR4QE1DxmvpLg
Fitness 19,ChIJucoIG-Gm3IARXwUyQGAv1sU
Club Pilates,ChIJY3IK32Sl3IARSbrKoI5Oybg
Planet Fitness,ChIJcYublN9D24AR2iAW8wMPG_I
Country Club West Apt,ChIJ__-LUHys3IARGMq8HpA5Snw
Planet Fitness,ChIJM2TtUde53IARUVBZ9w8pJaM
